,PlatformWorkedWith,Windows,iOS,AWS,Docker,Linux,MacOS,Android,WordPress,Raspberry Pi,Heroku,Google Cloud Platform,Kubernetes,Arduino,Slack Apps and Integrations,Microsoft Azure,IBM Cloud or Watson
14767,AWS;Docker;Heroku;Linux;MacOS,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0
14768,Raspberry Pi;Windows,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
14769,Docker;Kubernetes;Linux;Windows,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
14770,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14771,Android;Linux;Windows,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
14772,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14773,Android;Linux,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
14774,Android;Heroku;iOS;Linux;Windows,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0
14775,AWS;Docker;Linux;MacOS;Raspberry Pi;Windows,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
14776,Docker;Linux;MacOS;Microsoft Azure;Raspberry Pi;Windows,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0
14777,AWS;Heroku;iOS;MacOS;Raspberry Pi,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0
14778,Windows,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14779,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14780,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14781,Docker;Linux;Windows,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
14782,AWS;Google Cloud Platform;Microsoft Azure;Windows,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
14783,AWS;Google Cloud Platform,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
14784,Docker;Linux;MacOS;Windows,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
14785,Heroku;Linux;Windows,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
14786,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14787,Docker;iOS,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14788,Linux;MacOS;Windows;WordPress,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
14789,Linux;Windows,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14790,Linux;WordPress,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
14791,Android;AWS;Docker;Kubernetes;Linux,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0
14792,AWS;Docker;Linux;Microsoft Azure;Windows,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0
14793,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14794,Windows,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14795,Windows,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14796,Google Cloud Platform;Linux,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
14797,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14798,Android;Microsoft Azure;Windows,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
14799,AWS;Heroku;Linux;Windows,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
14800,Kubernetes;Linux,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
14801,Heroku;Windows,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
14802,Docker;Microsoft Azure;Windows,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
14803,Linux,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14804,Docker;Kubernetes;Microsoft Azure;Windows,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
14805,AWS;Docker;Kubernetes;Linux;Microsoft Azure;Windows,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0
14806,AWS;Docker;Heroku;Linux,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0
14807,AWS;Docker;Heroku;Linux;Windows;WordPress,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0
14808,Windows,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14809,Raspberry Pi;Windows;WordPress,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
14810,Android;AWS;Heroku;WordPress,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0
14811,Linux;Microsoft Azure,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
14812,Microsoft Azure;Windows,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
14813,Docker;Linux,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
14814,iOS,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14815,Docker;MacOS;Windows,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
14816,Android;Docker;iOS,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
14817,Android;Arduino;AWS;Docker;Google Cloud Platform;Heroku;IBM Cloud or Watson;iOS;Kubernetes;Linux;MacOS;Raspberry Pi;Windows;WordPress,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
14818,Windows,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14819,Android;AWS;Docker;Kubernetes;Microsoft Azure;Windows;WordPress,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0
14820,Android;iOS;Linux;Microsoft Azure;Windows,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0
14821,Docker;Linux;Microsoft Azure;Windows,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
14822,Android;Docker;Kubernetes;Windows;WordPress,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0
14823,iOS;WordPress,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
14824,Heroku;Linux;WordPress,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
14825,MacOS,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14826,Windows,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14827,Android;AWS;Docker;Kubernetes;Linux;Microsoft Azure;Slack Apps and Integrations;Windows,1,0,1,1,1,0,1,0,0,0,0,1,0,1,1,0
14828,Android;Heroku;Linux;Windows,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
14829,Docker;Google Cloud Platform;IBM Cloud or Watson;Kubernetes;Linux;MacOS;Windows,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,1
14830,Android;AWS;Linux;Windows;WordPress,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
14831,IBM Cloud or Watson;Linux;Windows,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
14832,Windows,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14833,AWS;Docker;Linux;Windows,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
14834,Android;iOS;MacOS,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
14835,AWS;IBM Cloud or Watson,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
14836,Raspberry Pi;Windows,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
14837,iOS;Linux;MacOS;WordPress,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0
14838,Linux,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14839,Kubernetes;Linux;Windows,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
14840,Android;AWS;Docker;Kubernetes;Linux;MacOS;Microsoft Azure;Windows,1,0,1,1,1,1,1,0,0,0,0,1,0,0,1,0
14841,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14842,Android;Linux;MacOS;Windows,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
14843,Raspberry Pi;Windows,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
14844,AWS;Docker;Kubernetes;Linux,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0
14845,AWS;Docker;Windows,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
14846,Linux;Windows,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14847,AWS;Docker;Heroku;Kubernetes;Linux;Slack Apps and Integrations,0,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0
14848,Linux;MacOS;Raspberry Pi;Windows,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
14849,AWS;Windows,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14850,Windows,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14851,Android;AWS;Docker;iOS;Linux,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
14852,Android;Arduino,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
14853,AWS;Microsoft Azure;Windows,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
14854,Android;Arduino;AWS;Docker;Google Cloud Platform;iOS;Linux;MacOS;Slack Apps and Integrations;WordPress,0,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0
14855,Google Cloud Platform;Heroku;Microsoft Azure,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
14856,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14857,Android;WordPress,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
14858,Android;AWS;Docker;Heroku;iOS;MacOS,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0
14859,Linux;MacOS;Windows,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
14860,Android;AWS;Docker;Linux;Raspberry Pi;Windows;WordPress,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0
14861,Android;Docker;Linux;Raspberry Pi;Windows,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0
14862,Android;Heroku;Windows,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
14863,Docker;Linux;Raspberry Pi,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
14864,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14865,Windows,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14866,Microsoft Azure;Windows,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
14867,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14868,Linux,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14869,Docker;Linux,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
14870,Docker;Raspberry Pi,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
14871,Google Cloud Platform;Kubernetes;Windows,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
14872,Android;Arduino;Docker;Linux;MacOS;Microsoft Azure;Raspberry Pi;Windows,1,0,0,1,1,1,1,0,1,0,0,0,1,0,1,0
14873,Microsoft Azure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
14874,Windows,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14875,Android;iOS;Windows,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
14876,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14877,Linux;Microsoft Azure;Raspberry Pi,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
14878,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14879,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14880,Android;MacOS;Windows,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
14881,AWS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14882,Android;Arduino;Docker;Linux;Raspberry Pi;Slack Apps and Integrations,0,0,0,1,1,0,1,0,1,0,0,0,1,1,0,0
14883,Arduino;IBM Cloud or Watson;iOS;MacOS;Raspberry Pi,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1
14884,Android;Windows,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
14885,AWS;Slack Apps and Integrations;Windows,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
14886,Linux;Windows,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14887,AWS;Docker;Linux;Windows,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
14888,Arduino;AWS;Docker;Google Cloud Platform;Kubernetes;Linux;Microsoft Azure;Windows,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0
14889,Android;Arduino;Linux;Microsoft Azure;Raspberry Pi;Windows,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0
14890,AWS;Google Cloud Platform;Heroku;Linux;MacOS,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0
14891,Linux;MacOS;Slack Apps and Integrations;Windows,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
14892,Android;AWS;Docker;Heroku;iOS;Linux;MacOS,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0
14893,AWS;Docker;Google Cloud Platform;Heroku;IBM Cloud or Watson;iOS;Linux;MacOS;Slack Apps and Integrations;WordPress,0,1,1,1,1,1,0,1,0,1,1,0,0,1,0,1
14894,AWS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14895,Android;Docker;iOS,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
14896,Linux;WordPress,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
14897,Android;Arduino;Docker;Linux;Raspberry Pi;Windows,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0
14898,AWS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14899,Android;Linux;Windows,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
14900,Android;iOS,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
14901,Docker,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14902,Microsoft Azure;WordPress,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
14903,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14904,Windows,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14905,Microsoft Azure;Windows,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
14906,Android;AWS;Google Cloud Platform;Heroku;Linux;Windows,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0
14907,Android;Linux;Raspberry Pi;Windows,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
14908,Docker;Google Cloud Platform;Kubernetes;Linux;Microsoft Azure,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0
14909,Linux;Windows,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14910,Android;AWS;Google Cloud Platform;Heroku;Slack Apps and Integrations;Windows;WordPress,1,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0
14911,Google Cloud Platform;IBM Cloud or Watson;Linux;Microsoft Azure;Raspberry Pi;Windows,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1
14912,Windows,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14913,Android;iOS,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
14914,Docker;Kubernetes;Linux;Windows,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
14915,Heroku,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
14916,AWS;Google Cloud Platform;Kubernetes;Linux;MacOS;Raspberry Pi,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0
14917,WordPress,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
14918,AWS;Docker;Linux;Windows,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
14919,Microsoft Azure;Raspberry Pi;Windows,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
14920,Linux;Microsoft Azure;Windows,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
14921,Windows,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14922,Docker;Windows,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14923,Android;AWS;Docker;iOS;MacOS,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
14924,Linux,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14925,iOS,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14926,AWS;Docker;Heroku;Slack Apps and Integrations,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0
14927,Docker;Linux;Windows,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
14928,Android;Arduino;AWS;WordPress,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0
14929,Windows,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14930,Android;Docker;Linux,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
14931,Arduino;Docker;iOS;Kubernetes;Linux;MacOS;Microsoft Azure;Raspberry Pi,0,1,0,1,1,1,0,0,1,0,0,1,1,0,1,0
14932,Android;iOS,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
14933,Android;Arduino;AWS;Docker;Linux;Raspberry Pi;Windows,1,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0
14934,Docker;Google Cloud Platform;Heroku;Microsoft Azure;Slack Apps and Integrations;Windows;WordPress,1,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0
14935,AWS;Linux;MacOS;Windows;WordPress,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0
14936,Docker;Linux;Raspberry Pi,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
14937,Linux;Windows,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14938,Android;AWS;Docker;Heroku;iOS;Kubernetes;Linux;MacOS;Raspberry Pi;Slack Apps and Integrations,0,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0
14939,Android;AWS;MacOS,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
14940,AWS;Linux;Windows,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
14941,Linux;Windows;WordPress,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
14942,AWS;Docker;Google Cloud Platform;Kubernetes;MacOS,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0
14943,Android;Arduino;iOS;Linux;MacOS;Windows,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0
14944,Android;Linux;Windows,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
14945,Docker;Kubernetes;Linux,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
14946,Docker;Linux;Windows,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
14947,Arduino;iOS;MacOS;Raspberry Pi,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
14948,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14949,Arduino;AWS;Docker;Linux;Raspberry Pi,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0
14950,Android;Arduino;Linux;Raspberry Pi;Windows,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0
14951,Docker;Linux,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
14952,Google Cloud Platform;Windows,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
14953,Android;Docker;Linux,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
14954,Android;AWS;Docker;Kubernetes;Linux;MacOS;Slack Apps and Integrations;Windows,1,0,1,1,1,1,1,0,0,0,0,1,0,1,0,0
14955,AWS;Docker;Microsoft Azure;Windows,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
14956,iOS;MacOS,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14957,Heroku;MacOS;Windows,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
14958,Linux;Microsoft Azure;Windows,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
14959,Microsoft Azure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
14960,Docker;Linux;Windows,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
14961,Docker;Linux;Windows,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
14962,Docker;Microsoft Azure;Windows,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
14963,Docker;Kubernetes;Raspberry Pi,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
14964,Android;AWS;Linux;Raspberry Pi;Windows,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0
14965,Windows,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14966,AWS;Linux,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
14967,Linux;Windows,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14968,AWS;Docker;Kubernetes;Linux,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0
14969,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14970,Docker;Linux;MacOS,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
14971,Arduino;AWS;Docker;Kubernetes;Linux;Raspberry Pi;Windows,1,0,1,1,1,0,0,0,1,0,0,1,1,0,0,0
14972,Heroku;Linux,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
14973,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14974,AWS;Linux;Raspberry Pi,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
14975,Microsoft Azure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
14976,Docker;Linux;MacOS;Windows,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
14977,Microsoft Azure;Windows;WordPress,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
14978,Linux,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14979,AWS;Docker;Linux;Raspberry Pi,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0
14980,Microsoft Azure;Windows,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
14981,Docker;Google Cloud Platform;Kubernetes,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
14982,Heroku;MacOS,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
14983,Arduino;AWS;Docker;Heroku;iOS;Linux;MacOS;Raspberry Pi;Windows,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0
14984,Microsoft Azure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
14985,Android;Arduino;Windows,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
14986,AWS;Linux,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
14987,Linux,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14988,Android,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
14989,Android;Arduino;Linux;Windows,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
14990,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14991,Google Cloud Platform;Microsoft Azure;Windows,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
14992,Docker;Linux;Windows,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
14993,Android,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
14994,Windows,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14995,AWS;Linux;MacOS;Raspberry Pi,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0
14996,Windows,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14997,Docker;Linux,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
14998,MacOS;Windows,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14999,Linux;MacOS;Microsoft Azure;Windows,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
15000,Linux,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15001,Windows,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15002,Docker;Kubernetes;Linux;Windows,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
15003,Linux;Microsoft Azure;Windows,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
15004,Android;AWS;Docker;Google Cloud Platform;Kubernetes;Linux;Slack Apps and Integrations;Windows,1,0,1,1,1,0,1,0,0,0,1,1,0,1,0,0
15005,Windows,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15006,Linux;Raspberry Pi,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
15007,Docker;Windows,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15008,Windows,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15009,AWS;Docker;Kubernetes;Linux;MacOS;Microsoft Azure;WordPress,0,0,1,1,1,1,0,1,0,0,0,1,0,0,1,0
15010,AWS;Linux;MacOS;Windows,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
15011,AWS;Google Cloud Platform,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
15012,Android;AWS;Docker;iOS;Linux;MacOS,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
15013,AWS;Docker;Google Cloud Platform;Kubernetes;Raspberry Pi,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0
15014,AWS;Google Cloud Platform;Heroku;iOS;Linux;MacOS;Windows;WordPress,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0
15015,Android;AWS;Docker;iOS;Raspberry Pi;WordPress,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0
15016,Windows,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15017,Arduino;Docker;Google Cloud Platform;iOS;Linux;MacOS;Raspberry Pi,0,1,0,1,1,1,0,0,1,0,1,0,1,0,0,0
15018,Windows,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15019,AWS;Docker;Kubernetes;Slack Apps and Integrations;Windows,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0
15020,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15021,Android;AWS;Docker;Google Cloud Platform;iOS;Kubernetes;Linux;MacOS;Slack Apps and Integrations;Windows,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,0
15022,Linux,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15023,Google Cloud Platform,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
15024,Docker;Linux;Microsoft Azure;Windows,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
15025,Kubernetes;Linux;Raspberry Pi;Windows,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
15026,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15027,Linux;Windows,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15028,Android;iOS;Linux;MacOS;Windows,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
15029,AWS;Heroku;Linux;MacOS,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0
15030,Windows,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15031,Android;Windows,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
15032,Arduino;Docker,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
15033,AWS;Docker;Google Cloud Platform;Linux;WordPress,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0
15034,AWS;Docker;Google Cloud Platform;Heroku;Kubernetes;Linux;Microsoft Azure;Raspberry Pi;Windows;WordPress,1,0,1,1,1,0,0,1,1,1,1,1,0,0,1,0
15035,Google Cloud Platform;Heroku;Microsoft Azure;Windows;WordPress,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0
