,DatabaseWorkedWith,Elasticsearch,Microsoft SQL Server,Oracle,MySQL,PostgreSQL,Redis,SQLite,MariaDB,Firebase,MongoDB,IBM DB2,DynamoDB,Cassandra,Couchbase
27,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Microsoft SQL Server;Redis;SQLite,0,1,0,0,0,1,1,0,0,0,0,0,0,0
30,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,MySQL;SQLite,0,0,0,1,0,0,1,0,0,0,0,0,0,0
32,MongoDB;MySQL;PostgreSQL;SQLite,0,0,0,1,1,0,1,0,0,1,0,0,0,0
33,MongoDB;PostgreSQL,0,0,0,0,1,0,0,0,0,1,0,0,0,0
34,MongoDB;MySQL,0,0,0,1,0,0,0,0,0,1,0,0,0,0
35,IBM DB2;Microsoft SQL Server;MongoDB;SQLite,0,1,0,0,0,0,1,0,0,1,1,0,0,0
36,MariaDB;MongoDB;MySQL;PostgreSQL,0,0,0,1,1,0,0,1,0,1,0,0,0,0
37,MongoDB;PostgreSQL;Redis,0,0,0,0,1,1,0,0,0,1,0,0,0,0
38,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,MySQL;SQLite,0,0,0,1,0,0,1,0,0,0,0,0,0,0
40,Microsoft SQL Server,0,1,0,0,0,0,0,0,0,0,0,0,0,0
41,Microsoft SQL Server;MySQL;Oracle;Redis,0,1,1,1,0,1,0,0,0,0,0,0,0,0
42,Oracle,0,0,1,0,0,0,0,0,0,0,0,0,0,0
43,Microsoft SQL Server,0,1,0,0,0,0,0,0,0,0,0,0,0,0
44,Elasticsearch;MongoDB;MySQL,1,0,0,1,0,0,0,0,0,1,0,0,0,0
45,Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;SQLite,0,1,0,1,1,0,1,0,0,1,0,0,0,0
46,Microsoft SQL Server;Oracle;PostgreSQL;SQLite,0,1,1,0,1,0,1,0,0,0,0,0,0,0
47,PostgreSQL;Redis,0,0,0,0,1,1,0,0,0,0,0,0,0,0
48,Microsoft SQL Server,0,1,0,0,0,0,0,0,0,0,0,0,0,0
49,MySQL,0,0,0,1,0,0,0,0,0,0,0,0,0,0
50,PostgreSQL;Redis,0,0,0,0,1,1,0,0,0,0,0,0,0,0
51,Firebase;SQLite,0,0,0,0,0,0,1,0,1,0,0,0,0,0
52,SQLite,0,0,0,0,0,0,1,0,0,0,0,0,0,0
53,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,MySQL,0,0,0,1,0,0,0,0,0,0,0,0,0,0
55,DynamoDB;MySQL;Redis,0,0,0,1,0,1,0,0,0,0,0,1,0,0
56,SQLite,0,0,0,0,0,0,1,0,0,0,0,0,0,0
57,Microsoft SQL Server,0,1,0,0,0,0,0,0,0,0,0,0,0,0
58,Microsoft SQL Server;MySQL;PostgreSQL;SQLite,0,1,0,1,1,0,1,0,0,0,0,0,0,0
59,MariaDB;MySQL,0,0,0,1,0,0,0,1,0,0,0,0,0,0
60,MySQL;SQLite,0,0,0,1,0,0,1,0,0,0,0,0,0,0
61,Oracle;PostgreSQL;SQLite,0,0,1,0,1,0,1,0,0,0,0,0,0,0
62,Firebase;MongoDB;MySQL,0,0,0,1,0,0,0,0,1,1,0,0,0,0
63,MySQL;Redis;SQLite,0,0,0,1,0,1,1,0,0,0,0,0,0,0
64,Microsoft SQL Server,0,1,0,0,0,0,0,0,0,0,0,0,0,0
65,PostgreSQL;SQLite,0,0,0,0,1,0,1,0,0,0,0,0,0,0
66,Firebase;PostgreSQL;Redis,0,0,0,0,1,1,0,0,1,0,0,0,0,0
67,MySQL;Oracle;PostgreSQL;SQLite,0,0,1,1,1,0,1,0,0,0,0,0,0,0
68,MongoDB,0,0,0,0,0,0,0,0,0,1,0,0,0,0
69,MySQL,0,0,0,1,0,0,0,0,0,0,0,0,0,0
70,Elasticsearch;MariaDB;Microsoft SQL Server;MongoDB;MySQL,1,1,0,1,0,0,0,1,0,1,0,0,0,0
71,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,MariaDB;Redis;SQLite,0,0,0,0,0,1,1,1,0,0,0,0,0,0
73,Microsoft SQL Server;MongoDB;MySQL,0,1,0,1,0,0,0,0,0,1,0,0,0,0
74,Elasticsearch;MongoDB,1,0,0,0,0,0,0,0,0,1,0,0,0,0
75,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,MySQL;SQLite,0,0,0,1,0,0,1,0,0,0,0,0,0,0
78,Elasticsearch;MariaDB;Microsoft SQL Server;MongoDB;MySQL;Oracle;Redis;SQLite,1,1,1,1,0,1,1,1,0,1,0,0,0,0
79,Elasticsearch;Microsoft SQL Server;MySQL,1,1,0,1,0,0,0,0,0,0,0,0,0,0
80,MongoDB;MySQL;PostgreSQL;Redis;SQLite,0,0,0,1,1,1,1,0,0,1,0,0,0,0
81,Microsoft SQL Server,0,1,0,0,0,0,0,0,0,0,0,0,0,0
82,PostgreSQL;SQLite,0,0,0,0,1,0,1,0,0,0,0,0,0,0
83,Oracle;PostgreSQL,0,0,1,0,1,0,0,0,0,0,0,0,0,0
84,MariaDB;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;SQLite,0,1,1,1,1,0,1,1,0,1,0,0,0,0
85,Firebase;MongoDB;PostgreSQL,0,0,0,0,1,0,0,0,1,1,0,0,0,0
86,Microsoft SQL Server;MySQL,0,1,0,1,0,0,0,0,0,0,0,0,0,0
87,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Elasticsearch;Microsoft SQL Server;MongoDB;Redis,1,1,0,0,0,1,0,0,0,1,0,0,0,0
89,PostgreSQL,0,0,0,0,1,0,0,0,0,0,0,0,0,0
90,Cassandra;Elasticsearch;MariaDB;MongoDB;MySQL,1,0,0,1,0,0,0,1,0,1,0,0,1,0
91,MariaDB;MySQL;SQLite,0,0,0,1,0,0,1,1,0,0,0,0,0,0
92,Elasticsearch;MySQL;PostgreSQL;SQLite,1,0,0,1,1,0,1,0,0,0,0,0,0,0
93,MongoDB;Oracle,0,0,1,0,0,0,0,0,0,1,0,0,0,0
94,MongoDB;Redis,0,0,0,0,0,1,0,0,0,1,0,0,0,0
95,Cassandra;Elasticsearch,1,0,0,0,0,0,0,0,0,0,0,0,1,0
96,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,Elasticsearch;MongoDB,1,0,0,0,0,0,0,0,0,1,0,0,0,0
98,MySQL,0,0,0,1,0,0,0,0,0,0,0,0,0,0
99,MySQL;SQLite,0,0,0,1,0,0,1,0,0,0,0,0,0,0
100,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,MongoDB;MySQL;SQLite,0,0,0,1,0,0,1,0,0,1,0,0,0,0
102,MariaDB;Microsoft SQL Server;MySQL;PostgreSQL;Redis,0,1,0,1,1,1,0,1,0,0,0,0,0,0
103,Microsoft SQL Server;MySQL;Oracle,0,1,1,1,0,0,0,0,0,0,0,0,0,0
104,Microsoft SQL Server;MySQL;Oracle,0,1,1,1,0,0,0,0,0,0,0,0,0,0
105,MongoDB,0,0,0,0,0,0,0,0,0,1,0,0,0,0
106,MariaDB;Microsoft SQL Server;MySQL;SQLite,0,1,0,1,0,0,1,1,0,0,0,0,0,0
107,MongoDB;MySQL;PostgreSQL;SQLite,0,0,0,1,1,0,1,0,0,1,0,0,0,0
108,MariaDB;Microsoft SQL Server;MongoDB,0,1,0,0,0,0,0,1,0,1,0,0,0,0
109,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,Oracle;PostgreSQL,0,0,1,0,1,0,0,0,0,0,0,0,0,0
111,PostgreSQL,0,0,0,0,1,0,0,0,0,0,0,0,0,0
112,MariaDB,0,0,0,0,0,0,0,1,0,0,0,0,0,0
113,MariaDB;MySQL;PostgreSQL,0,0,0,1,1,0,0,1,0,0,0,0,0,0
114,Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;SQLite,0,1,1,1,1,0,1,0,0,1,0,0,0,0
115,Elasticsearch;Firebase;MySQL;PostgreSQL;Redis;SQLite,1,0,0,1,1,1,1,0,1,0,0,0,0,0
116,Elasticsearch;MariaDB;MySQL;Redis;SQLite,1,0,0,1,0,1,1,1,0,0,0,0,0,0
117,DynamoDB;MariaDB;PostgreSQL,0,0,0,0,1,0,0,1,0,0,0,1,0,0
118,MongoDB,0,0,0,0,0,0,0,0,0,1,0,0,0,0
119,PostgreSQL,0,0,0,0,1,0,0,0,0,0,0,0,0,0
120,Firebase;MongoDB;PostgreSQL;Redis,0,0,0,0,1,1,0,0,1,1,0,0,0,0
121,Cassandra,0,0,0,0,0,0,0,0,0,0,0,0,1,0
122,Firebase,0,0,0,0,0,0,0,0,1,0,0,0,0,0
123,PostgreSQL,0,0,0,0,1,0,0,0,0,0,0,0,0,0
124,MySQL;Redis,0,0,0,1,0,1,0,0,0,0,0,0,0,0
125,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,Microsoft SQL Server;MySQL,0,1,0,1,0,0,0,0,0,0,0,0,0,0
127,DynamoDB;Firebase;MongoDB;MySQL;SQLite,0,0,0,1,0,0,1,0,1,1,0,1,0,0
128,Microsoft SQL Server;MySQL;SQLite,0,1,0,1,0,0,1,0,0,0,0,0,0,0
129,MySQL,0,0,0,1,0,0,0,0,0,0,0,0,0,0
130,Elasticsearch;Firebase;MongoDB,1,0,0,0,0,0,0,0,1,1,0,0,0,0
131,Elasticsearch;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis;SQLite,1,1,0,1,1,1,1,0,0,1,0,0,0,0
132,SQLite,0,0,0,0,0,0,1,0,0,0,0,0,0,0
133,Elasticsearch;MySQL;PostgreSQL,1,0,0,1,1,0,0,0,0,0,0,0,0,0
134,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,Microsoft SQL Server,0,1,0,0,0,0,0,0,0,0,0,0,0,0
136,DynamoDB;Microsoft SQL Server;MySQL,0,1,0,1,0,0,0,0,0,0,0,1,0,0
137,Microsoft SQL Server;MongoDB;MySQL,0,1,0,1,0,0,0,0,0,1,0,0,0,0
138,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,MariaDB;MySQL,0,0,0,1,0,0,0,1,0,0,0,0,0,0
140,Microsoft SQL Server,0,1,0,0,0,0,0,0,0,0,0,0,0,0
141,Elasticsearch;PostgreSQL,1,0,0,0,1,0,0,0,0,0,0,0,0,0
142,MySQL;SQLite,0,0,0,1,0,0,1,0,0,0,0,0,0,0
143,Microsoft SQL Server,0,1,0,0,0,0,0,0,0,0,0,0,0,0
144,Elasticsearch;Microsoft SQL Server;Redis,1,1,0,0,0,1,0,0,0,0,0,0,0,0
145,MariaDB,0,0,0,0,0,0,0,1,0,0,0,0,0,0
146,Elasticsearch;PostgreSQL,1,0,0,0,1,0,0,0,0,0,0,0,0,0
147,MySQL;PostgreSQL,0,0,0,1,1,0,0,0,0,0,0,0,0,0
148,Elasticsearch;Redis,1,0,0,0,0,1,0,0,0,0,0,0,0,0
149,MySQL,0,0,0,1,0,0,0,0,0,0,0,0,0,0
150,Redis,0,0,0,0,0,1,0,0,0,0,0,0,0,0
151,MongoDB,0,0,0,0,0,0,0,0,0,1,0,0,0,0
152,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,Microsoft SQL Server;MySQL;Oracle;PostgreSQL;Redis;SQLite,0,1,1,1,1,1,1,0,0,0,0,0,0,0
154,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,Microsoft SQL Server;MySQL;PostgreSQL;Redis,0,1,0,1,1,1,0,0,0,0,0,0,0,0
157,Microsoft SQL Server,0,1,0,0,0,0,0,0,0,0,0,0,0,0
158,MySQL;PostgreSQL;SQLite,0,0,0,1,1,0,1,0,0,0,0,0,0,0
159,Elasticsearch;MariaDB;MongoDB;MySQL;Oracle;Redis;SQLite,1,0,1,1,0,1,1,1,0,1,0,0,0,0
160,MariaDB;MySQL;Redis,0,0,0,1,0,1,0,1,0,0,0,0,0,0
161,Elasticsearch;Microsoft SQL Server,1,1,0,0,0,0,0,0,0,0,0,0,0,0
162,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,MongoDB,0,0,0,0,0,0,0,0,0,1,0,0,0,0
164,Elasticsearch;MongoDB;Redis,1,0,0,0,0,1,0,0,0,1,0,0,0,0
165,MariaDB;MongoDB;MySQL;Oracle,0,0,1,1,0,0,0,1,0,1,0,0,0,0
166,Firebase;MariaDB;MongoDB;MySQL,0,0,0,1,0,0,0,1,1,1,0,0,0,0
167,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,Elasticsearch;Firebase;MySQL;PostgreSQL;SQLite,1,0,0,1,1,0,1,0,1,0,0,0,0,0
169,Microsoft SQL Server;SQLite,0,1,0,0,0,0,1,0,0,0,0,0,0,0
170,MySQL,0,0,0,1,0,0,0,0,0,0,0,0,0,0
171,Microsoft SQL Server,0,1,0,0,0,0,0,0,0,0,0,0,0,0
172,MySQL;PostgreSQL;SQLite,0,0,0,1,1,0,1,0,0,0,0,0,0,0
173,MongoDB;MySQL;PostgreSQL;SQLite,0,0,0,1,1,0,1,0,0,1,0,0,0,0
174,SQLite,0,0,0,0,0,0,1,0,0,0,0,0,0,0
175,SQLite,0,0,0,0,0,0,1,0,0,0,0,0,0,0
176,Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;SQLite,0,1,0,1,1,0,1,0,0,1,0,0,0,0
177,Firebase;Microsoft SQL Server;PostgreSQL;Redis,0,1,0,0,1,1,0,0,1,0,0,0,0,0
178,MySQL;PostgreSQL,0,0,0,1,1,0,0,0,0,0,0,0,0,0
179,PostgreSQL,0,0,0,0,1,0,0,0,0,0,0,0,0,0
180,Cassandra;Couchbase;DynamoDB;Elasticsearch;Firebase;MariaDB;MongoDB;MySQL;PostgreSQL;Redis;SQLite,1,0,0,1,1,1,1,1,1,1,0,1,1,1
181,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,MySQL;SQLite,0,0,0,1,0,0,1,0,0,0,0,0,0,0
183,Microsoft SQL Server;PostgreSQL;Redis,0,1,0,0,1,1,0,0,0,0,0,0,0,0
184,DynamoDB;Firebase;MongoDB;MySQL;Oracle,0,0,1,1,0,0,0,0,1,1,0,1,0,0
185,Microsoft SQL Server;MongoDB,0,1,0,0,0,0,0,0,0,1,0,0,0,0
186,Microsoft SQL Server;MySQL;Oracle,0,1,1,1,0,0,0,0,0,0,0,0,0,0
187,MySQL;PostgreSQL,0,0,0,1,1,0,0,0,0,0,0,0,0,0
188,MySQL;Oracle;SQLite,0,0,1,1,0,0,1,0,0,0,0,0,0,0
189,MongoDB;MySQL;PostgreSQL;SQLite,0,0,0,1,1,0,1,0,0,1,0,0,0,0
190,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,MySQL;PostgreSQL;SQLite,0,0,0,1,1,0,1,0,0,0,0,0,0,0
193,Elasticsearch;PostgreSQL;Redis,1,0,0,0,1,1,0,0,0,0,0,0,0,0
194,Cassandra;Couchbase;Redis;SQLite,0,0,0,0,0,1,1,0,0,0,0,0,1,1
195,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,Microsoft SQL Server,0,1,0,0,0,0,0,0,0,0,0,0,0,0
198,Microsoft SQL Server;MySQL,0,1,0,1,0,0,0,0,0,0,0,0,0,0
199,Couchbase;MongoDB;PostgreSQL,0,0,0,0,1,0,0,0,0,1,0,0,0,1
200,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,IBM DB2;MySQL;PostgreSQL,0,0,0,1,1,0,0,0,0,0,1,0,0,0
202,SQLite,0,0,0,0,0,0,1,0,0,0,0,0,0,0
203,Microsoft SQL Server,0,1,0,0,0,0,0,0,0,0,0,0,0,0
204,Firebase;MySQL;SQLite,0,0,0,1,0,0,1,0,1,0,0,0,0,0
205,DynamoDB;Elasticsearch;PostgreSQL;Redis,1,0,0,0,1,1,0,0,0,0,0,1,0,0
206,SQLite,0,0,0,0,0,0,1,0,0,0,0,0,0,0
207,Microsoft SQL Server;MySQL;Oracle;PostgreSQL,0,1,1,1,1,0,0,0,0,0,0,0,0,0
208,Firebase;MySQL;SQLite,0,0,0,1,0,0,1,0,1,0,0,0,0,0
209,PostgreSQL,0,0,0,0,1,0,0,0,0,0,0,0,0,0
210,Cassandra;DynamoDB;Elasticsearch;PostgreSQL,1,0,0,0,1,0,0,0,0,0,0,1,1,0
211,Cassandra;Couchbase;DynamoDB;Firebase;IBM DB2;MariaDB;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;Redis;SQLite,0,1,1,1,1,1,1,1,1,1,1,1,1,1
212,Microsoft SQL Server;Redis,0,1,0,0,0,1,0,0,0,0,0,0,0,0
213,MySQL,0,0,0,1,0,0,0,0,0,0,0,0,0,0
214,Elasticsearch;MongoDB;Redis,1,0,0,0,0,1,0,0,0,1,0,0,0,0
215,MySQL;PostgreSQL,0,0,0,1,1,0,0,0,0,0,0,0,0,0
216,Cassandra;Elasticsearch;MariaDB;MongoDB;MySQL;PostgreSQL;Redis,1,0,0,1,1,1,0,1,0,1,0,0,1,0
217,MySQL,0,0,0,1,0,0,0,0,0,0,0,0,0,0
218,MySQL,0,0,0,1,0,0,0,0,0,0,0,0,0,0
219,Elasticsearch;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;Redis,1,1,1,1,1,1,0,0,0,1,0,0,0,0
220,Microsoft SQL Server,0,1,0,0,0,0,0,0,0,0,0,0,0,0
221,Elasticsearch;Microsoft SQL Server;Redis,1,1,0,0,0,1,0,0,0,0,0,0,0,0
222,Microsoft SQL Server;SQLite,0,1,0,0,0,0,1,0,0,0,0,0,0,0
223,MariaDB;MySQL,0,0,0,1,0,0,0,1,0,0,0,0,0,0
224,Firebase;Microsoft SQL Server;MongoDB;SQLite,0,1,0,0,0,0,1,0,1,1,0,0,0,0
225,MySQL,0,0,0,1,0,0,0,0,0,0,0,0,0,0
226,MongoDB,0,0,0,0,0,0,0,0,0,1,0,0,0,0
227,Elasticsearch;Firebase;MariaDB;MongoDB;MySQL;Oracle;PostgreSQL;Redis;SQLite,1,0,1,1,1,1,1,1,1,1,0,0,0,0
228,SQLite,0,0,0,0,0,0,1,0,0,0,0,0,0,0
229,MariaDB;Microsoft SQL Server;MySQL;Oracle,0,1,1,1,0,0,0,1,0,0,0,0,0,0
230,Firebase;MySQL;Oracle;SQLite,0,0,1,1,0,0,1,0,1,0,0,0,0,0
231,Microsoft SQL Server;SQLite,0,1,0,0,0,0,1,0,0,0,0,0,0,0
232,Firebase;MariaDB;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;SQLite,0,1,1,1,1,0,1,1,1,1,0,0,0,0
233,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234,MySQL;PostgreSQL,0,0,0,1,1,0,0,0,0,0,0,0,0,0
235,Microsoft SQL Server;MySQL;SQLite,0,1,0,1,0,0,1,0,0,0,0,0,0,0
236,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,DynamoDB;Firebase;MySQL;PostgreSQL;SQLite,0,0,0,1,1,0,1,0,1,0,0,1,0,0
238,Microsoft SQL Server;MongoDB;Oracle,0,1,1,0,0,0,0,0,0,1,0,0,0,0
239,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,PostgreSQL,0,0,0,0,1,0,0,0,0,0,0,0,0,0
241,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,Firebase;MariaDB;MongoDB;MySQL;Redis,0,0,0,1,0,1,0,1,1,1,0,0,0,0
243,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,MySQL;Oracle,0,0,1,1,0,0,0,0,0,0,0,0,0,0
246,MariaDB,0,0,0,0,0,0,0,1,0,0,0,0,0,0
247,Microsoft SQL Server;MongoDB;MySQL;PostgreSQL,0,1,0,1,1,0,0,0,0,1,0,0,0,0
248,Microsoft SQL Server,0,1,0,0,0,0,0,0,0,0,0,0,0,0
249,MongoDB;MySQL,0,0,0,1,0,0,0,0,0,1,0,0,0,0
250,MySQL;PostgreSQL,0,0,0,1,1,0,0,0,0,0,0,0,0,0
251,MariaDB,0,0,0,0,0,0,0,1,0,0,0,0,0,0
252,Microsoft SQL Server,0,1,0,0,0,0,0,0,0,0,0,0,0,0
253,DynamoDB;Elasticsearch;MariaDB;Microsoft SQL Server;MySQL;PostgreSQL;Redis,1,1,0,1,1,1,0,1,0,0,0,1,0,0
254,MariaDB;MySQL;SQLite,0,0,0,1,0,0,1,1,0,0,0,0,0,0
255,Microsoft SQL Server,0,1,0,0,0,0,0,0,0,0,0,0,0,0
256,Microsoft SQL Server;MongoDB;SQLite,0,1,0,0,0,0,1,0,0,1,0,0,0,0
257,Microsoft SQL Server,0,1,0,0,0,0,0,0,0,0,0,0,0,0
258,Microsoft SQL Server,0,1,0,0,0,0,0,0,0,0,0,0,0,0
259,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,PostgreSQL;SQLite,0,0,0,0,1,0,1,0,0,0,0,0,0,0
261,Microsoft SQL Server;Oracle,0,1,1,0,0,0,0,0,0,0,0,0,0,0
262,Microsoft SQL Server;MySQL,0,1,0,1,0,0,0,0,0,0,0,0,0,0
263,MongoDB;PostgreSQL;Redis;SQLite,0,0,0,0,1,1,1,0,0,1,0,0,0,0
264,Firebase;Microsoft SQL Server;MySQL;SQLite,0,1,0,1,0,0,1,0,1,0,0,0,0,0
265,Firebase;MySQL;PostgreSQL,0,0,0,1,1,0,0,0,1,0,0,0,0,0
266,MySQL,0,0,0,1,0,0,0,0,0,0,0,0,0,0
267,Microsoft SQL Server,0,1,0,0,0,0,0,0,0,0,0,0,0,0
268,Microsoft SQL Server;MySQL;Oracle;PostgreSQL;SQLite,0,1,1,1,1,0,1,0,0,0,0,0,0,0
269,PostgreSQL;SQLite,0,0,0,0,1,0,1,0,0,0,0,0,0,0
270,Microsoft SQL Server,0,1,0,0,0,0,0,0,0,0,0,0,0,0
271,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,MongoDB;MySQL,0,0,0,1,0,0,0,0,0,1,0,0,0,0
273,MySQL,0,0,0,1,0,0,0,0,0,0,0,0,0,0
274,MySQL;Oracle,0,0,1,1,0,0,0,0,0,0,0,0,0,0
275,PostgreSQL,0,0,0,0,1,0,0,0,0,0,0,0,0,0
276,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277,MongoDB;PostgreSQL;SQLite,0,0,0,0,1,0,1,0,0,1,0,0,0,0
278,Microsoft SQL Server,0,1,0,0,0,0,0,0,0,0,0,0,0,0
279,DynamoDB,0,0,0,0,0,0,0,0,0,0,0,1,0,0
280,Microsoft SQL Server;MySQL,0,1,0,1,0,0,0,0,0,0,0,0,0,0
281,Oracle,0,0,1,0,0,0,0,0,0,0,0,0,0,0
282,Couchbase;Elasticsearch;MongoDB;MySQL;PostgreSQL;Redis,1,0,0,1,1,1,0,0,0,1,0,0,0,1
283,MongoDB;MySQL;SQLite,0,0,0,1,0,0,1,0,0,1,0,0,0,0
284,PostgreSQL;SQLite,0,0,0,0,1,0,1,0,0,0,0,0,0,0
285,MySQL;Oracle;PostgreSQL;SQLite,0,0,1,1,1,0,1,0,0,0,0,0,0,0
286,MariaDB;MySQL;PostgreSQL,0,0,0,1,1,0,0,1,0,0,0,0,0,0
287,Elasticsearch;Microsoft SQL Server;MongoDB;MySQL;Redis,1,1,0,1,0,1,0,0,0,1,0,0,0,0
288,MariaDB;MySQL;Redis,0,0,0,1,0,1,0,1,0,0,0,0,0,0
289,MongoDB;MySQL;SQLite,0,0,0,1,0,0,1,0,0,1,0,0,0,0
290,Microsoft SQL Server;PostgreSQL;Redis,0,1,0,0,1,1,0,0,0,0,0,0,0,0
291,Firebase;MongoDB,0,0,0,0,0,0,0,0,1,1,0,0,0,0
292,IBM DB2;Microsoft SQL Server;Oracle,0,1,1,0,0,0,0,0,0,0,1,0,0,0
293,Microsoft SQL Server;MySQL,0,1,0,1,0,0,0,0,0,0,0,0,0,0
294,MySQL;PostgreSQL,0,0,0,1,1,0,0,0,0,0,0,0,0,0
295,Microsoft SQL Server;MySQL,0,1,0,1,0,0,0,0,0,0,0,0,0,0
296,MariaDB;MySQL,0,0,0,1,0,0,0,1,0,0,0,0,0,0
297,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
298,Cassandra;MariaDB;MySQL,0,0,0,1,0,0,0,1,0,0,0,0,1,0
299,MySQL,0,0,0,1,0,0,0,0,0,0,0,0,0,0
300,Microsoft SQL Server;Redis,0,1,0,0,0,1,0,0,0,0,0,0,0,0
301,Cassandra;Microsoft SQL Server,0,1,0,0,0,0,0,0,0,0,0,0,1,0
302,MariaDB;Microsoft SQL Server;MySQL;Oracle,0,1,1,1,0,0,0,1,0,0,0,0,0,0
303,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304,MongoDB,0,0,0,0,0,0,0,0,0,1,0,0,0,0
305,Microsoft SQL Server;MongoDB;MySQL,0,1,0,1,0,0,0,0,0,1,0,0,0,0
