uid,resp_time,comment,location
u49,2013-04-01 06:35:19,"easter, beginning of school week tomorrow","43.707136718561166,-72.29065781268854"
u49,2013-04-02 22:51:45,"internships, research, math homework, and CS lab","43.707146987999685,-72.29072620916767"
u49,2013-04-03 00:39:43,work,"43.707146987999685,-72.29072620916767"
u49,2013-04-04 22:04:24,financial aid forms,"43.70707964069709,-72.29049692253142"
u49,2013-04-07 02:29:04,girlfriend,"42.370239251465904,-71.10342783989697"
u49,2013-04-06 02:08:06,travelling,"43.47757182567488,-72.10256690864196"
u49,2013-04-13 20:01:40,traveling,"43.32351967587326,-71.89589626821693"
u49,2013-04-16 07:58:51,midterms,"43.707277235827306,-72.29070802286769"
u49,2013-04-18 04:40:03,exams,"43.70143796257927,-72.28840592331314"
u49,2013-05-02 04:58:23,homework,"43.70128447062639,-72.28811807771216"
u49,2013-05-10 20:09:37,summer plans,"43.70578575320415,-72.28875349174373"
u49,2013-05-04 21:03:16,cs,"43.70713433287341,-72.29021107759506"
u49,2013-05-10 07:58:04,summer,"43.7071387297622,-72.29066029782106"
u49,2013-05-13 02:53:32,lab,"43.63199519015069,-72.21044899071187"
u49,2013-05-18 06:33:36,green key,"43.7071803391446,-72.29073719551904"
u49,2013-05-18 00:19:03,green key,"43.70600375009001,-72.28871367120003"
u49,2013-05-23 19:02:01,group android project,"43.70717394799803,-72.29085167812515"
u49,2013-05-31 07:53:20,finals,"43.707175423533876,-72.29072460503018"
u51,2013-04-15 23:18:05,nothing much,"43.7065978,-72.28709206"
u53,2013-03-29 21:32:48,thesis research plan,"43.70789343,-72.28376628"
u53,2013-04-03 08:11:05,research ideas,"43.70545116,-72.28301514"
u53,2013-04-01 06:22:48,homework,"43.40062634,-72.01627429"
u53,2013-04-01 06:22:52,machine learning problem,"43.63641881,-72.28712311"
u53,2013-04-01 06:22:51,,"43.01144742,-71.43616835"
u53,2013-04-01 19:09:51,cs165 lab,"43.7068123,-72.28668344"
u53,2013-04-05 02:23:26,thesis proposal,"43.70588351,-72.28322173"
u53,2013-04-05 23:00:10,website design for app with lorie,"43.70652295,-72.28353758"
u53,2013-04-13 22:54:41,forensics project,"43.70601049,-72.28324145"
u56,2013-04-17 21:19:14,nasty headache today. start of allergy season?,"43.71268733,-72.3089346"
u57,2013-03-27 20:02:33,I want to do my networks homework today,"43.70288118,-72.29008281"
u57,2013-04-02 06:02:48,I'm exhausted,"43.70702215,-72.28926511"
u57,2013-04-02 21:23:50,Finishing homework before fencing club nationals,"43.70496898,-72.28848864"
u57,2013-04-04 23:12:50,Fencing club nationals,"43.70714671,-72.28921668"
u57,2013-04-12 05:02:51,Working on computer networks homework,"43.70717864,-72.28864107"
u57,2013-04-13 06:03:42,Girls,"43.7071603,-72.28890645"
u57,2013-04-12 20:02:26,It is hailing in April!,"43.70704438,-72.28906392"
u57,2013-04-16 22:27:19,Finishing computer networks homework today before midnight,"43.70716532,-72.28887617"
u57,2013-04-14 20:07:03,computer networks,"43.7034383,-72.28949884"
u57,2013-04-20 23:19:52,Homework,"43.81237747,-72.18886948"
u57,2013-04-21 19:38:30,homework,"43.70689052,-72.28872243"
u58,2013-04-26 20:36:21,not overambitious,"43.70607141,-72.28335077"
